scenario,n,mean_days,median_days,p90_days,pct_within_62
ALL_BASELINE,3309,94.61680265941372,91.0,122.0,2.5385312783318223
ALL_PROSTAD,1722,143.84959349593495,144.0,210.9000000000001,4.645760743321719
OBS_MIX,3305,87.32798789712557,85.0,116.0,12.012102874432678
