outcome_set,keys,chi2_stat,chi2_pvalue,sim_props,obs_probs
biopmdt_outcome,"[0, 1, 2]",8.035598624401876,0.01799251731565525,"{0: 0.3741, 1: 0.6115, 2: 0.0144}","{1: 0.5986394557823129, 0: 0.3877551020408163, 2: 0.013605442176870748}"
pathrep_outcome,"[0, 1]",0.5723721268283727,0.4493178331378993,"{0.0: 0.17808667211774326, 1.0: 0.8219133278822568}","{1: 0.8181818181818182, 0: 0.18181818181818182}"
