mri_capacity,biopsy_capacity,n_runs,n_patients_mean,metric_mean_mean,metric_mean_sd,metric_median_mean,metric_p90_mean,metric,group
2,1,30,55.2,52.89756683757438,8.75729376291775,53.11666666666667,93.21333333333334,clinic_mdt_to_biopsy_wait,BASELINE
2,2,30,79.96666666666667,4.267599920797005,0.5292295138472446,4.116666666666666,8.033333333333335,clinic_mdt_to_biopsy_wait,BASELINE
2,3,30,80.26666666666667,3.0910857475833495,0.24722550451770559,3.183333333333333,5.94,clinic_mdt_to_biopsy_wait,BASELINE
2,4,30,80.26666666666667,3.0120292865793417,0.2116090780145686,3.033333333333333,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
2,5,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
2,6,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
3,1,30,48.7,66.71920872168556,8.457756384848716,66.01666666666667,116.47,clinic_mdt_to_biopsy_wait,BASELINE
3,2,30,79.7,5.424833301904333,1.011193136154693,5.166666666666667,9.9,clinic_mdt_to_biopsy_wait,BASELINE
3,3,30,80.26666666666667,3.203766076822011,0.2742335058193385,3.2333333333333334,5.986666666666667,clinic_mdt_to_biopsy_wait,BASELINE
3,4,30,80.26666666666667,3.009112619912675,0.2169502423380126,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
3,5,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
3,6,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
4,1,30,47.833333333333336,68.76792548083533,9.55658377528158,67.85,118.79666666666667,clinic_mdt_to_biopsy_wait,BASELINE
4,2,30,79.73333333333333,5.813359398295692,1.2885658222921383,5.533333333333333,10.543333333333335,clinic_mdt_to_biopsy_wait,BASELINE
4,3,30,80.26666666666667,3.240736077367281,0.27382052000184215,3.283333333333333,6.0,clinic_mdt_to_biopsy_wait,BASELINE
4,4,30,80.26666666666667,3.0145312349880347,0.21662189368605517,3.066666666666667,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
4,5,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
4,6,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
5,1,30,47.833333333333336,69.30780187589677,9.916887577033489,67.81666666666666,119.42666666666668,clinic_mdt_to_biopsy_wait,BASELINE
5,2,30,79.63333333333334,5.932152001908475,1.3466938434827285,5.533333333333333,11.003333333333334,clinic_mdt_to_biopsy_wait,BASELINE
5,3,30,80.23333333333333,3.290111772066523,0.28750419487390855,3.3333333333333335,6.036666666666667,clinic_mdt_to_biopsy_wait,BASELINE
5,4,30,80.26666666666667,3.0169382142293375,0.21952522168426145,3.0833333333333335,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
5,5,30,80.26666666666667,3.0062670914573904,0.21531098096047716,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
5,6,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
6,1,30,47.833333333333336,69.47453621069754,9.972153858260931,67.86666666666666,119.50666666666667,clinic_mdt_to_biopsy_wait,BASELINE
6,2,30,79.6,6.019423108542834,1.3689249907216223,5.666666666666667,11.173333333333336,clinic_mdt_to_biopsy_wait,BASELINE
6,3,30,80.23333333333333,3.331170795963276,0.2902845284591145,3.35,6.066666666666666,clinic_mdt_to_biopsy_wait,BASELINE
6,4,30,80.26666666666667,3.0281879214663023,0.23017800561392232,3.0833333333333335,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
6,5,30,80.26666666666667,3.008803323341448,0.2177877271213077,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
6,6,30,80.26666666666667,3.0037308595733325,0.21371029757558116,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
7,1,30,47.833333333333336,69.51198202032738,9.98923574904382,67.86666666666666,119.50666666666667,clinic_mdt_to_biopsy_wait,BASELINE
7,2,30,79.6,6.046162815671826,1.3726375428289992,5.666666666666667,11.166666666666666,clinic_mdt_to_biopsy_wait,BASELINE
7,3,30,80.23333333333333,3.341054188714316,0.2927654968015564,3.3333333333333335,6.066666666666666,clinic_mdt_to_biopsy_wait,BASELINE
7,4,30,80.26666666666667,3.0312990325774134,0.22873222630660078,3.0833333333333335,5.926666666666667,clinic_mdt_to_biopsy_wait,BASELINE
7,5,30,80.26666666666667,3.008803323341448,0.2177877271213077,3.0166666666666666,5.913333333333333,clinic_mdt_to_biopsy_wait,BASELINE
