mri_capacity,biopsy_capacity,n_runs,n_patients_mean,metric_mean_mean,metric_mean_sd,metric_median_mean,metric_p90_mean,metric,group
2,1,30,98.83333333333333,50.42270318402729,8.838666594840536,49.916666666666664,92.79333333333334,clinic_mdt_to_biopsy_wait,ALL
2,2,30,140.56666666666666,4.6879127256407696,0.38842322909561605,5.0,7.053333333333334,clinic_mdt_to_biopsy_wait,ALL
2,3,30,140.9,3.912159712949221,0.17197872965775773,5.0,5.266666666666668,clinic_mdt_to_biopsy_wait,ALL
2,4,30,140.9,3.8660758746256225,0.165204784331278,5.0,5.150000000000002,clinic_mdt_to_biopsy_wait,ALL
2,5,30,140.9,3.860966840956949,0.16913883167688162,5.0,5.150000000000002,clinic_mdt_to_biopsy_wait,ALL
2,6,30,140.9,3.860966840956949,0.16913883167688162,5.0,5.150000000000002,clinic_mdt_to_biopsy_wait,ALL
3,1,30,99.83333333333333,62.81335289047105,7.801538008265693,61.5,116.93666666666667,clinic_mdt_to_biopsy_wait,ALL
3,2,30,159.8,5.746515796548456,0.857833290498681,5.033333333333333,9.896666666666668,clinic_mdt_to_biopsy_wait,ALL
3,3,30,160.73333333333332,4.102812840604831,0.17366058097113127,5.0,5.216666666666668,clinic_mdt_to_biopsy_wait,ALL
3,4,30,160.73333333333332,4.003241110026541,0.15496085501925996,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
3,5,30,160.73333333333332,4.000301940341977,0.15541439443642716,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
3,6,30,160.73333333333332,4.000301940341977,0.15541439443642716,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
4,1,30,100.0,64.71398238623394,8.283833460806589,63.2,120.11666666666666,clinic_mdt_to_biopsy_wait,ALL
4,2,30,162.03333333333333,6.143063717858808,1.1267962423271156,5.283333333333333,10.633333333333333,clinic_mdt_to_biopsy_wait,ALL
4,3,30,163.1,4.136558901106445,0.176103292611229,5.0,5.21,clinic_mdt_to_biopsy_wait,ALL
4,4,30,163.1,4.020001916040925,0.15351501230105719,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
4,5,30,163.1,4.014483737587482,0.15397642688479118,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
4,6,30,163.1,4.014483737587482,0.15397642688479118,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
5,1,30,100.03333333333333,65.02462404987449,8.482162929936464,63.28333333333333,120.49000000000001,clinic_mdt_to_biopsy_wait,ALL
5,2,30,162.16666666666666,6.299386283174905,1.1642244877685939,5.25,11.133333333333333,clinic_mdt_to_biopsy_wait,ALL
5,3,30,163.33333333333334,4.166694060910432,0.1842923953686769,5.0,5.28,clinic_mdt_to_biopsy_wait,ALL
5,4,30,163.36666666666667,4.022786494741747,0.15398138957510202,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
5,5,30,163.36666666666667,4.01743696828818,0.15352879802786498,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
5,6,30,163.36666666666667,4.016126106864959,0.15335438414962116,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
6,1,30,100.03333333333333,65.12717970322282,8.474632415070177,63.28333333333333,120.55333333333333,clinic_mdt_to_biopsy_wait,ALL
6,2,30,162.16666666666666,6.388533299379936,1.174861999770819,5.3,11.383333333333335,clinic_mdt_to_biopsy_wait,ALL
6,3,30,163.36666666666667,4.19172631960493,0.18445656819767797,5.0,5.333333333333334,clinic_mdt_to_biopsy_wait,ALL
6,4,30,163.4,4.028379322754962,0.15831398463291665,5.0,5.013333333333334,clinic_mdt_to_biopsy_wait,ALL
6,5,30,163.4,4.018914902457659,0.15418563205346397,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
6,6,30,163.4,4.016293179611218,0.15350558473413872,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
7,1,30,100.03333333333333,65.1643841028801,8.485963629148987,63.28333333333333,120.55333333333333,clinic_mdt_to_biopsy_wait,ALL
7,2,30,162.16666666666666,6.420579423742914,1.1816814262023747,5.3,11.460000000000003,clinic_mdt_to_biopsy_wait,ALL
7,3,30,163.36666666666667,4.204241034769573,0.19627706295132374,5.0,5.376666666666667,clinic_mdt_to_biopsy_wait,ALL
7,4,30,163.4,4.029776528343784,0.15867679459461678,5.0,5.013333333333334,clinic_mdt_to_biopsy_wait,ALL
7,5,30,163.4,4.018914902457659,0.15418563205346397,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
7,6,30,163.4,4.016293179611218,0.15350558473413872,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
8,1,30,100.03333333333333,65.17603045434998,8.49209788314589,63.28333333333333,120.58333333333333,clinic_mdt_to_biopsy_wait,ALL
8,2,30,162.16666666666666,6.429375056885746,1.1832449274177923,5.3,11.460000000000003,clinic_mdt_to_biopsy_wait,ALL
8,3,30,163.36666666666667,4.211414387205548,0.19985997024362698,5.0,5.390000000000001,clinic_mdt_to_biopsy_wait,ALL
8,4,30,163.4,4.03128190468787,0.1605505624292055,5.0,5.013333333333334,clinic_mdt_to_biopsy_wait,ALL
8,5,30,163.4,4.018914902457659,0.15418563205346397,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
8,6,30,163.4,4.016293179611218,0.15350558473413872,5.0,5.0,clinic_mdt_to_biopsy_wait,ALL
