scenario,seed,stage,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
OBS_MIX_DES_BIOPSY,5,mri_to_report,263,1.813793103448276,4,3.0246575342465754,9,263,1.0
OBS_MIX_DES_BIOPSY,5,report_to_biopmdt,263,1.7077922077922079,4,1.8767123287671232,6,260,0.9885931558935361
OBS_MIX_DES_BIOPSY,5,biopmdt_to_biopsy,157,1.3771929824561404,3,0.0,0,156,0.9936305732484076
OBS_MIX_DES_BIOPSY,5,biopsy_to_pathrep,156,1.9024390243902438,4,3.835616438356164,9,149,0.9551282051282052
OBS_MIX_DES_BIOPSY,5,pathrep_to_treatmdt,116,1.2210526315789474,3,3.504109589041096,10,112,0.9655172413793104
OBS_MIX_DES_BIOPSY,5,treatmdt_to_outpat,112,1.1546391752577319,3,3.3205479452054796,9,106,0.9464285714285714
ALL_PROSTAD,5,ref_to_mri,278,1.5274725274725274,5,0.0,0,156,0.5611510791366906
ALL_PROSTAD,5,mri_to_report,156,3.0,3,0.4273972602739726,3,156,1.0
ALL_PROSTAD,5,report_to_biopmdt,156,3.0,3,0.0,0,156,1.0
ALL_PROSTAD,5,biopmdt_to_biopsy,99,2.106382978723404,3,0.0,0,99,1.0
ALL_PROSTAD,5,biopsy_to_pathrep,99,2.106382978723404,3,2.2958904109589042,6,96,0.9696969696969697
ALL_PROSTAD,5,pathrep_to_treatmdt,75,1.1538461538461537,3,2.1397260273972605,5,72,0.96
ALL_PROSTAD,5,treatmdt_to_outpat,72,1.0588235294117647,2,2.202739726027397,6,69,0.9583333333333334
