scenario,n,mean_days,median_days,p90_days,pct_within_62
ALL_BASELINE,529,94.1531190926276,90.0,121.0,2.4574669187145557
ALL_PROSTAD,358,113.29608938547486,113.5,177.0,19.553072625698324
OBS_MIX,545,83.4256880733945,80.0,113.60000000000002,16.51376146788991
OBS_MIX_DES_BIOPSY,601,57.42595673876872,56.0,83.0,64.39267886855241
