seed,pathway_type,stage,mean_entering_per_day,mean_leaving_per_day,mean_net_per_day,total_entered,total_left,total_net
1000,BASELINE,biopmdt_to_biopsy,0.3506849315068493,0.2,0.1506849315068493,128,73,55
1000,BASELINE,biopsy_to_pathrep,0.2,0.18904109589041096,0.010958904109589041,73,69,4
1000,BASELINE,mri_to_report,0.3561643835616438,0.35342465753424657,0.0027397260273972603,130,129,1
1000,BASELINE,pathrep_to_treatmdt,0.18904109589041096,0.1506849315068493,0.038356164383561646,69,55,14
1000,BASELINE,ref_to_mri,0.37534246575342467,0.3561643835616438,0.019178082191780823,137,130,7
1000,BASELINE,report_to_biopmdt,0.35342465753424657,0.3506849315068493,0.0027397260273972603,129,128,1
1000,BASELINE,treatmdt_to_outpat,0.1506849315068493,0.14794520547945206,0.0027397260273972603,55,54,1
1000,PROSTAD,biopmdt_to_biopsy,0.3698630136986301,0.16164383561643836,0.20821917808219179,135,59,76
1000,PROSTAD,biopsy_to_pathrep,0.16164383561643836,0.16164383561643836,0.0,59,59,0
1000,PROSTAD,mri_to_report,0.3698630136986301,0.3698630136986301,0.0,135,135,0
1000,PROSTAD,pathrep_to_treatmdt,0.16164383561643836,0.14246575342465753,0.019178082191780823,59,52,7
1000,PROSTAD,ref_to_mri,0.3780821917808219,0.3698630136986301,0.00821917808219178,138,135,3
1000,PROSTAD,report_to_biopmdt,0.3698630136986301,0.3698630136986301,0.0,135,135,0
1000,PROSTAD,treatmdt_to_outpat,0.14246575342465753,0.13424657534246576,0.00821917808219178,52,49,3
1001,BASELINE,biopmdt_to_biopsy,0.3780821917808219,0.22465753424657534,0.15342465753424658,138,82,56
1001,BASELINE,biopsy_to_pathrep,0.22465753424657534,0.2219178082191781,0.0027397260273972603,82,81,1
1001,BASELINE,mri_to_report,0.39452054794520547,0.38082191780821917,0.0136986301369863,144,139,5
1001,BASELINE,pathrep_to_treatmdt,0.2219178082191781,0.18082191780821918,0.0410958904109589,81,66,15
1001,BASELINE,ref_to_mri,0.40821917808219177,0.39452054794520547,0.0136986301369863,149,144,5
1001,BASELINE,report_to_biopmdt,0.38082191780821917,0.3780821917808219,0.0027397260273972603,139,138,1
1001,BASELINE,treatmdt_to_outpat,0.18082191780821918,0.1726027397260274,0.00821917808219178,66,63,3
1001,PROSTAD,biopmdt_to_biopsy,0.33424657534246577,0.17534246575342466,0.1589041095890411,122,64,58
1001,PROSTAD,biopsy_to_pathrep,0.17534246575342466,0.16986301369863013,0.005479452054794521,64,62,2
1001,PROSTAD,mri_to_report,0.33424657534246577,0.33424657534246577,0.0,122,122,0
