stage,mean_weekly_arrivals_mean_ALL_MC_BASELINE,mean_weekly_arrivals_mean_PROSTAD,mean_weekly_arrivals_std_ALL_MC_BASELINE,mean_weekly_arrivals_std_PROSTAD,peak_weekly_arrivals_mean_ALL_MC_BASELINE,peak_weekly_arrivals_mean_PROSTAD,peak_weekly_arrivals_std_ALL_MC_BASELINE,peak_weekly_arrivals_std_PROSTAD,std_weekly_arrivals_mean_ALL_MC_BASELINE,std_weekly_arrivals_mean_PROSTAD,std_weekly_arrivals_std_ALL_MC_BASELINE,std_weekly_arrivals_std_PROSTAD,total_arrivals_mean_ALL_MC_BASELINE,total_arrivals_mean_PROSTAD,total_arrivals_std_ALL_MC_BASELINE,total_arrivals_std_PROSTAD,mean_in_stage_mean_ALL_MC_BASELINE,mean_in_stage_mean_PROSTAD,mean_in_stage_std_ALL_MC_BASELINE,mean_in_stage_std_PROSTAD,peak_in_stage_mean_ALL_MC_BASELINE,peak_in_stage_mean_PROSTAD,peak_in_stage_std_ALL_MC_BASELINE,peak_in_stage_std_PROSTAD,completion_ratio_mean_ALL_MC_BASELINE,completion_ratio_mean_PROSTAD,completion_ratio_std_ALL_MC_BASELINE,completion_ratio_std_PROSTAD,mean_weekly_arrivals_diff_mean,mean_weekly_arrivals_diff_pct,peak_weekly_arrivals_diff_mean,std_weekly_arrivals_diff_mean,arrival_diff_mean,arrival_diff_pct,mean_in_stage_diff_mean,mean_in_stage_diff_pct,completion_ratio_diff_mean,completion_ratio_diff_pct,stage_flag
biopmdt_to_biopsy,2.1423133427965952,2.040488403183653,0.1778097392364362,0.12995944532278106,5.2,3.9,1.1516578439248717,0.3077935056255463,1.1511437214269786,0.9125699076437712,0.22133897845552336,0.06626224000053552,85.45,86.95,7.521722926927958,7.351870510285119,6.152465753424658,6.310273972602739,0.7214245273130813,0.737190707187809,12.85,13.75,1.7851728502481652,2.0228952674713274,0.918264140901009,0.9285280824840427,0.028160758582855265,0.021197761218601615,-0.10182493961294226,-4.753036709374132,-1.3000000000000003,-0.2385738137832074,1.5,1.7554125219426564,0.1578082191780812,2.564958920579771,0.010263941583033676,1.1177548077792305,⚪ STABLE
biopsy_to_pathrep,2.070865489497158,2.117102738763923,0.16133816027712894,0.1407588248280633,5.35,5.2,0.9880869341680842,1.0563093645728086,1.1286631079174159,1.1571822565604726,0.18467675459610217,0.15696243748171923,78.5,80.7,7.6948376406386565,6.641971806149452,1.8649315068493153,1.9052054794520548,0.24164435877634977,0.18874180879041527,6.55,6.65,1.1459310165698642,1.1367080817685316,0.9721050703753258,0.9763524253842956,0.02035214992589678,0.016003582913088468,0.04623724926676509,2.2327500024152847,-0.14999999999999947,0.028519148643056713,2.200000000000003,2.8025477707006403,0.04027397260273946,2.1595416483032026,0.004247355008969778,0.4369234497799596,⚪ STABLE
mri_to_report,3.0587504128582164,3.0001228952573937,0.2969714585785056,0.25959607941016466,7.2,4.0,1.0563093645728086,0.0,1.6232265810952644,1.0590352658606572,0.2236933794130132,0.0945035668465191,142.8,145.45,14.52982413774111,14.310375330691473,0.39123287671232876,0.3984931506849315,0.039807737363674274,0.03920650775531912,3.6,4.0,0.7539370349250518,0.0,0.9975815902806954,1.0,0.00340765344017047,0.0,-0.05862751760082263,-1.9167146608094376,-3.2,-0.5641913152346072,2.6499999999999773,1.8557422969187516,0.00726027397260276,1.8557422969187727,0.002418409719304626,0.2424272603731735,⚡ FAST TRACK
pathrep_to_treatmdt,1.8349562171887868,1.8740806910529397,0.19419053401571976,0.17324118976129643,4.45,4.55,0.887041208323017,1.0990426455975695,0.9619842306139338,0.9986529298971739,0.1364526378151886,0.15839014480309238,62.45,64.15,6.46020204996065,6.922693421676732,1.8534246575342466,1.8606849315068494,0.22396097194136078,0.2527220330538167,6.65,6.5,1.268027892769755,1.504379571363837,0.9689036555751601,0.9678542005137395,0.026911331004365546,0.019862393676436694,0.039124473864152964,2.13217478965754,0.09999999999999964,0.036668699283240125,1.7000000000000028,2.7221777421937596,0.007260273972602871,0.39172209903917926,-0.0010494550614206233,-0.10831366518042976,⚪ STABLE
ref_to_mri,3.052338034187595,3.052338034187595,0.2520884372989401,0.2520884372989401,6.85,6.85,0.670820393249937,0.670820393249937,1.552701681728307,1.552701681728307,0.15447890098322256,0.15447890098322256,152.3,152.3,14.448092206968107,14.448092206968107,9.795342465753425,1.716712328767123,1.2148720080367112,0.5316268009941316,18.0,7.4,2.1764287503300346,1.5355437918998291,0.9372512188724802,0.9548218739077983,0.01993909065193213,0.01586917765775837,0.0,0.0,0.0,0.0,0.0,0.0,-8.078630136986302,-82.47419796940117,0.017570655035318072,1.8747006865945393,🟢 IMPROVED
report_to_biopmdt,3.0459571820179163,3.0001228952573937,0.27138790186322503,0.25959607941016466,7.15,4.0,1.3088765773505313,0.0,1.614950657722344,1.0590352658606572,0.2146199880641739,0.0945035668465191,142.45,145.45,14.456741279453423,14.310375330691473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.04583428676052259,-1.5047580783836834,-3.1500000000000004,-0.5559153918616868,3.0,2.1060021060021064,0.0,,0.0,0.0,⚡ FAST TRACK
treatmdt_to_outpat,1.8623587393410683,1.8917044346403151,0.16742725585530488,0.19343429363716952,4.55,4.55,0.8255779474818963,0.9445132413883324,0.9829667556606335,0.9776464279201151,0.14319875473778682,0.14342433219477668,60.5,62.05,6.411338640088723,6.427531244166522,1.8046575342465754,1.8306849315068494,0.21915843459161544,0.23459580084882903,6.2,6.55,0.6958523739384593,1.3945382182304158,0.968747873107948,0.9715838932752228,0.019942003779274152,0.022307357036894265,0.0293456952992468,1.5757273117868669,0.0,-0.005320327740518382,1.5499999999999972,2.561983471074375,0.026027397260274032,1.4422347047214243,0.0028360201672747998,0.2927511116154761,⚪ STABLE
