scenario,seed,window_start,window_end,event,count_in_last_window
ALL_MC_BASELINE,9,2026-12-05,2027-01-04,Treatment_options_MDT_occured,4
ALL_MC_BASELINE,9,2026-12-05,2027-01-04,Outpatient_appointment_occured,4
PROSTAD,9,2026-12-04,2027-01-03,mri_performed,13
PROSTAD,9,2026-12-04,2027-01-03,biopsy_done,11
PROSTAD,9,2026-12-04,2027-01-03,Path_report_recieved,13
PROSTAD,9,2026-12-04,2027-01-03,Treatment_options_MDT_occured,13
PROSTAD,9,2026-12-04,2027-01-03,Outpatient_appointment_occured,12
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,mri_performed,14
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,biopsy_done,10
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,Path_report_recieved,9
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,Treatment_options_MDT_occured,7
ALL_MC_BASELINE,10,2026-12-04,2027-01-03,Outpatient_appointment_occured,6
PROSTAD,10,2026-12-04,2027-01-03,mri_performed,16
PROSTAD,10,2026-12-04,2027-01-03,biopsy_done,11
PROSTAD,10,2026-12-04,2027-01-03,Path_report_recieved,10
PROSTAD,10,2026-12-04,2027-01-03,Treatment_options_MDT_occured,7
PROSTAD,10,2026-12-04,2027-01-03,Outpatient_appointment_occured,9
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,mri_performed,12
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,biopsy_done,2
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,Path_report_recieved,4
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,Treatment_options_MDT_occured,5
ALL_MC_BASELINE,11,2026-12-05,2027-01-04,Outpatient_appointment_occured,3
PROSTAD,11,2026-12-05,2027-01-04,mri_performed,8
PROSTAD,11,2026-12-05,2027-01-04,biopsy_done,4
PROSTAD,11,2026-12-05,2027-01-04,Path_report_recieved,4
PROSTAD,11,2026-12-05,2027-01-04,Treatment_options_MDT_occured,2
PROSTAD,11,2026-12-05,2027-01-04,Outpatient_appointment_occured,7
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,mri_performed,14
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,biopsy_done,7
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,Path_report_recieved,9
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,Treatment_options_MDT_occured,7
ALL_MC_BASELINE,12,2026-12-05,2027-01-04,Outpatient_appointment_occured,8
PROSTAD,12,2026-12-05,2027-01-04,mri_performed,12
PROSTAD,12,2026-12-05,2027-01-04,biopsy_done,5
PROSTAD,12,2026-12-05,2027-01-04,Path_report_recieved,7
PROSTAD,12,2026-12-05,2027-01-04,Treatment_options_MDT_occured,7
PROSTAD,12,2026-12-05,2027-01-04,Outpatient_appointment_occured,6
ALL_MC_BASELINE,13,2026-12-04,2027-01-03,mri_performed,9
ALL_MC_BASELINE,13,2026-12-04,2027-01-03,biopsy_done,8
ALL_MC_BASELINE,13,2026-12-04,2027-01-03,Path_report_recieved,8
ALL_MC_BASELINE,13,2026-12-04,2027-01-03,Treatment_options_MDT_occured,5
ALL_MC_BASELINE,13,2026-12-04,2027-01-03,Outpatient_appointment_occured,4
PROSTAD,13,2026-12-04,2027-01-03,mri_performed,6
PROSTAD,13,2026-12-04,2027-01-03,biopsy_done,4
PROSTAD,13,2026-12-04,2027-01-03,Path_report_recieved,6
PROSTAD,13,2026-12-04,2027-01-03,Treatment_options_MDT_occured,1
PROSTAD,13,2026-12-04,2027-01-03,Outpatient_appointment_occured,4
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,mri_performed,17
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,biopsy_done,1
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,Path_report_recieved,3
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,Treatment_options_MDT_occured,3
ALL_MC_BASELINE,14,2026-12-05,2027-01-04,Outpatient_appointment_occured,6
PROSTAD,14,2026-12-05,2027-01-04,mri_performed,10
PROSTAD,14,2026-12-05,2027-01-04,biopsy_done,8
PROSTAD,14,2026-12-05,2027-01-04,Path_report_recieved,7
PROSTAD,14,2026-12-05,2027-01-04,Treatment_options_MDT_occured,4
PROSTAD,14,2026-12-05,2027-01-04,Outpatient_appointment_occured,6
ALL_MC_BASELINE,15,2026-12-05,2027-01-04,mri_performed,13
