seed,ALL_MC_BASELINE,PROSTAD,delta
1,63,65,2
2,82,85,3
3,81,85,4
4,98,99,1
5,70,73,3
6,83,84,1
7,73,75,2
8,68,68,0
9,82,83,1
10,75,78,3
11,64,66,2
12,87,92,5
13,68,70,2
14,71,73,2
15,84,87,3
16,82,83,1
17,65,67,2
18,78,78,0
19,78,81,3
20,68,69,1
