scenario,seed,stage,mean_weekly_arrivals,peak_weekly_arrivals,std_weekly_arrivals,n_weeks,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
PROSTAD,18,ref_to_mri,2.9423076923076925,6.0,1.4741359920566768,52,153,1.3076923076923077,4,1.7945205479452055,8,148,0.9673202614379085
PROSTAD,18,mri_to_report,2.96,4.0,1.159873321724825,50,148,2.96,4,0.4054794520547945,4,148,1.0
PROSTAD,18,report_to_biopmdt,2.96,4.0,1.159873321724825,50,148,2.96,4,0.0,0,148,1.0
PROSTAD,18,biopmdt_to_biopsy,2.0238095238095237,4.0,0.9496622053642699,42,85,2.0238095238095237,4,6.161643835616438,12,79,0.9294117647058824
PROSTAD,18,biopsy_to_pathrep,2.257142857142857,4.0,1.0387452029437514,35,79,1.196969696969697,3,1.9479452054794522,6,79,1.0
PROSTAD,18,pathrep_to_treatmdt,1.8888888888888888,5.0,1.063089239038158,36,68,1.096774193548387,2,1.9972602739726026,8,67,0.9852941176470589
PROSTAD,18,treatmdt_to_outpat,1.8108108108108107,7.0,1.1980965885250805,37,67,1.098360655737705,3,1.9479452054794522,8,64,0.9552238805970149
ALL_MC_BASELINE,19,ref_to_mri,3.019230769230769,7.0,1.6388707807198946,52,157,1.3652173913043477,3,10.232876712328768,17,145,0.9235668789808917
ALL_MC_BASELINE,19,mri_to_report,3.0208333333333335,8.0,1.5504231863390034,48,145,1.1885245901639345,3,0.3972602739726027,3,145,1.0
ALL_MC_BASELINE,19,report_to_biopmdt,3.0851063829787235,9.0,1.652794566708452,47,145,1.1885245901639345,3,0.0,0,145,1.0
ALL_MC_BASELINE,19,biopmdt_to_biopsy,2.0,5.0,1.147638083514009,42,84,1.135135135135135,2,6.364383561643836,12,79,0.9404761904761905
ALL_MC_BASELINE,19,biopsy_to_pathrep,2.0256410256410255,6.0,1.2457755877824506,39,79,1.144927536231884,3,1.8493150684931507,7,77,0.9746835443037974
ALL_MC_BASELINE,19,pathrep_to_treatmdt,1.7714285714285714,7.0,1.1902969052673689,35,62,1.1481481481481481,4,1.8027397260273972,8,62,1.0
ALL_MC_BASELINE,19,treatmdt_to_outpat,1.8235294117647058,5.0,1.028991510855053,34,62,1.1923076923076923,3,1.7753424657534247,6,58,0.9354838709677419
PROSTAD,19,ref_to_mri,3.019230769230769,7.0,1.6388707807198946,52,157,1.3652173913043477,3,1.7506849315068493,7,150,0.9554140127388535
PROSTAD,19,mri_to_report,3.061224489795918,4.0,1.0686471834619171,49,150,3.061224489795918,4,0.410958904109589,4,150,1.0
PROSTAD,19,report_to_biopmdt,3.061224489795918,4.0,1.0686471834619171,49,150,3.061224489795918,4,0.0,0,150,1.0
PROSTAD,19,biopmdt_to_biopsy,1.95,4.0,0.8149248824907508,40,78,1.95,4,4.852054794520548,13,74,0.9487179487179487
PROSTAD,19,biopsy_to_pathrep,1.9473684210526316,7.0,1.2069028582475425,38,74,1.1746031746031746,3,1.7780821917808218,7,71,0.9594594594594594
PROSTAD,19,pathrep_to_treatmdt,1.7741935483870968,5.0,1.0233825423354599,31,55,1.1,3,1.7452054794520548,6,55,1.0
PROSTAD,19,treatmdt_to_outpat,1.896551724137931,5.0,1.046928418422431,29,55,1.1224489795918366,2,1.8383561643835618,7,54,0.9818181818181818
ALL_MC_BASELINE,20,ref_to_mri,2.739130434782609,6.0,1.2725264914718215,46,126,1.3125,3,7.608219178082192,17,117,0.9285714285714286
ALL_MC_BASELINE,20,mri_to_report,2.5434782608695654,7.0,1.3614783099285117,46,117,1.1938775510204083,3,0.32054794520547947,3,116,0.9914529914529915
ALL_MC_BASELINE,20,report_to_biopmdt,2.697674418604651,7.0,1.5512649787608856,43,116,1.1958762886597938,3,0.0,0,116,1.0
ALL_MC_BASELINE,20,biopmdt_to_biopsy,1.9473684210526316,4.0,0.9571175312915062,38,74,1.1044776119402986,3,5.260273972602739,12,69,0.9324324324324325
ALL_MC_BASELINE,20,biopsy_to_pathrep,1.9714285714285715,5.0,1.2481919697215291,35,69,1.1694915254237288,3,1.726027397260274,7,68,0.9855072463768116
ALL_MC_BASELINE,20,pathrep_to_treatmdt,1.6875,5.0,1.0606601717798212,32,54,1.1020408163265305,2,1.5972602739726027,6,54,1.0
ALL_MC_BASELINE,20,treatmdt_to_outpat,1.6875,4.0,1.0606601717798212,32,54,1.1020408163265305,3,1.6082191780821917,6,53,0.9814814814814815
PROSTAD,20,ref_to_mri,2.739130434782609,6.0,1.2725264914718215,46,126,1.3125,3,1.0438356164383562,4,118,0.9365079365079365
PROSTAD,20,mri_to_report,2.5106382978723403,4.0,1.0399067772920365,47,118,2.5106382978723403,4,0.3232876712328767,4,118,1.0
PROSTAD,20,report_to_biopmdt,2.5106382978723403,4.0,1.0399067772920365,47,118,2.5106382978723403,4,0.0,0,118,1.0
PROSTAD,20,biopmdt_to_biopsy,2.025,4.0,0.83166499665831,40,81,2.025,4,5.761643835616439,14,77,0.9506172839506173
PROSTAD,20,biopsy_to_pathrep,2.026315789473684,5.0,1.0777063257719235,38,77,1.2419354838709677,3,1.819178082191781,7,77,1.0
PROSTAD,20,pathrep_to_treatmdt,1.8333333333333333,4.0,0.9710083124552245,36,66,1.1379310344827587,2,1.9205479452054794,7,66,1.0
PROSTAD,20,treatmdt_to_outpat,1.9411764705882353,4.0,0.8856148855400953,34,66,1.1,2,2.16986301369863,7,63,0.9545454545454546
