scenario,seed,event,count
PROSTAD,7,Path_report_outcome,73
PROSTAD,7,Treatment_options_MDT_occured,63
PROSTAD,7,Outpatient_appointment_occured,63
ALL_MC_BASELINE,8,referral_received,139
ALL_MC_BASELINE,8,mri_performed,130
ALL_MC_BASELINE,8,mri_report_ready,130
ALL_MC_BASELINE,8,MDT_occured,130
ALL_MC_BASELINE,8,biopsy_done,78
ALL_MC_BASELINE,8,Path_report_recieved,75
ALL_MC_BASELINE,8,Path_report_outcome,75
ALL_MC_BASELINE,8,Treatment_options_MDT_occured,64
ALL_MC_BASELINE,8,Outpatient_appointment_occured,61
PROSTAD,8,referral_received,139
PROSTAD,8,mri_performed,131
PROSTAD,8,mri_report_ready,131
PROSTAD,8,MDT_occured,131
PROSTAD,8,biopsy_done,78
PROSTAD,8,Path_report_recieved,75
PROSTAD,8,Path_report_outcome,75
PROSTAD,8,Treatment_options_MDT_occured,64
PROSTAD,8,Outpatient_appointment_occured,59
ALL_MC_BASELINE,9,referral_received,159
ALL_MC_BASELINE,9,mri_performed,151
ALL_MC_BASELINE,9,mri_report_ready,151
ALL_MC_BASELINE,9,MDT_occured,151
ALL_MC_BASELINE,9,biopsy_done,92
ALL_MC_BASELINE,9,Path_report_recieved,91
ALL_MC_BASELINE,9,Path_report_outcome,91
ALL_MC_BASELINE,9,Treatment_options_MDT_occured,67
ALL_MC_BASELINE,9,Outpatient_appointment_occured,66
PROSTAD,9,referral_received,159
PROSTAD,9,mri_performed,153
PROSTAD,9,mri_report_ready,153
PROSTAD,9,MDT_occured,153
PROSTAD,9,biopsy_done,94
PROSTAD,9,Path_report_recieved,92
PROSTAD,9,Path_report_outcome,92
PROSTAD,9,Treatment_options_MDT_occured,74
PROSTAD,9,Outpatient_appointment_occured,72
ALL_MC_BASELINE,10,referral_received,147
ALL_MC_BASELINE,10,mri_performed,135
ALL_MC_BASELINE,10,mri_report_ready,135
ALL_MC_BASELINE,10,MDT_occured,135
ALL_MC_BASELINE,10,biopsy_done,70
ALL_MC_BASELINE,10,Path_report_recieved,69
ALL_MC_BASELINE,10,Path_report_outcome,69
ALL_MC_BASELINE,10,Treatment_options_MDT_occured,50
ALL_MC_BASELINE,10,Outpatient_appointment_occured,47
PROSTAD,10,referral_received,147
PROSTAD,10,mri_performed,140
PROSTAD,10,mri_report_ready,140
PROSTAD,10,MDT_occured,140
PROSTAD,10,biopsy_done,80
PROSTAD,10,Path_report_recieved,77
PROSTAD,10,Path_report_outcome,77
PROSTAD,10,Treatment_options_MDT_occured,60
PROSTAD,10,Outpatient_appointment_occured,58
ALL_MC_BASELINE,11,referral_received,136
ALL_MC_BASELINE,11,mri_performed,125
ALL_MC_BASELINE,11,mri_report_ready,125
ALL_MC_BASELINE,11,MDT_occured,125
ALL_MC_BASELINE,11,biopsy_done,71
ALL_MC_BASELINE,11,Path_report_recieved,69
ALL_MC_BASELINE,11,Path_report_outcome,69
ALL_MC_BASELINE,11,Treatment_options_MDT_occured,57
ALL_MC_BASELINE,11,Outpatient_appointment_occured,55
PROSTAD,11,referral_received,136
PROSTAD,11,mri_performed,128
PROSTAD,11,mri_report_ready,128
PROSTAD,11,MDT_occured,128
PROSTAD,11,biopsy_done,69
PROSTAD,11,Path_report_recieved,67
PROSTAD,11,Path_report_outcome,67
PROSTAD,11,Treatment_options_MDT_occured,51
PROSTAD,11,Outpatient_appointment_occured,51
ALL_MC_BASELINE,12,referral_received,171
ALL_MC_BASELINE,12,mri_performed,162
ALL_MC_BASELINE,12,mri_report_ready,161
ALL_MC_BASELINE,12,MDT_occured,161
ALL_MC_BASELINE,12,biopsy_done,82
ALL_MC_BASELINE,12,Path_report_recieved,81
ALL_MC_BASELINE,12,Path_report_outcome,81
ALL_MC_BASELINE,12,Treatment_options_MDT_occured,65
ALL_MC_BASELINE,12,Outpatient_appointment_occured,63
PROSTAD,12,referral_received,171
PROSTAD,12,mri_performed,166
PROSTAD,12,mri_report_ready,166
PROSTAD,12,MDT_occured,166
PROSTAD,12,biopsy_done,85
PROSTAD,12,Path_report_recieved,84
PROSTAD,12,Path_report_outcome,84
PROSTAD,12,Treatment_options_MDT_occured,69
PROSTAD,12,Outpatient_appointment_occured,65
ALL_MC_BASELINE,13,referral_received,139
ALL_MC_BASELINE,13,mri_performed,134
ALL_MC_BASELINE,13,mri_report_ready,134
ALL_MC_BASELINE,13,MDT_occured,134
ALL_MC_BASELINE,13,biopsy_done,81
ALL_MC_BASELINE,13,Path_report_recieved,80
ALL_MC_BASELINE,13,Path_report_outcome,80
ALL_MC_BASELINE,13,Treatment_options_MDT_occured,63
ALL_MC_BASELINE,13,Outpatient_appointment_occured,60
PROSTAD,13,referral_received,139
PROSTAD,13,mri_performed,136
PROSTAD,13,mri_report_ready,136
PROSTAD,13,MDT_occured,136
PROSTAD,13,biopsy_done,81
PROSTAD,13,Path_report_recieved,80
PROSTAD,13,Path_report_outcome,80
PROSTAD,13,Treatment_options_MDT_occured,59
PROSTAD,13,Outpatient_appointment_occured,59
