scenario,seed,resource,mean_queue_len,peak_queue_len,mean_wait,peak_wait,n_wait_observations
ALL_MC_BASELINE,7,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,7,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,7,MRI,1.6164383561643836,9,3.9060402684563758,16,149
PROSTAD,7,Biopsy,0.0,0,0.0,0,0
PROSTAD,7,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,7,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,7,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,7,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,7,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,8,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,8,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,8,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,8,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,8,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,8,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,8,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,8,MRI,1.2054794520547945,6,3.2748091603053435,9,131
PROSTAD,8,Biopsy,0.0,0,0.0,0,0
PROSTAD,8,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,8,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,8,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,8,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,8,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,9,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,9,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,9,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,9,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,9,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,9,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,9,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,9,MRI,1.8575342465753424,8,4.42483660130719,13,153
PROSTAD,9,Biopsy,0.0,0,0.0,0,0
PROSTAD,9,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,9,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,9,PATHOLOGY,0.0,0,0.0,0,0
PROSTAD,9,TREATMENT_MDT,0.0,0,0.0,0,0
PROSTAD,9,OUTPATIENT,0.0,0,0.0,0,0
ALL_MC_BASELINE,10,MRI,0.0,0,0.0,0,0
ALL_MC_BASELINE,10,Biopsy,0.0,0,0.0,0,0
ALL_MC_BASELINE,10,MRI_REPORT,0.0,0,0.0,0,0
ALL_MC_BASELINE,10,BIOPSY_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,10,PATHOLOGY,0.0,0,0.0,0,0
ALL_MC_BASELINE,10,TREATMENT_MDT,0.0,0,0.0,0,0
ALL_MC_BASELINE,10,OUTPATIENT,0.0,0,0.0,0,0
PROSTAD,10,MRI,1.5835616438356164,6,3.9214285714285713,10,140
PROSTAD,10,Biopsy,0.0,0,0.0,0,0
PROSTAD,10,MRI_REPORT,0.0,0,0.0,0,0
PROSTAD,10,BIOPSY_MDT,0.0,0,0.0,0,0
PROSTAD,10,PATHOLOGY,0.0,0,0.0,0,0
