scenario,stage,week_start,mean_weekly_arrivals,std_weekly_arrivals,min_weekly_arrivals,max_weekly_arrivals
ALL_MC_BASELINE,biopsy_to_pathrep,2026-02-02,1.0,0.0,1,1
ALL_MC_BASELINE,biopsy_to_pathrep,2026-02-09,1.2857142857142858,0.48795003647426655,1,2
ALL_MC_BASELINE,biopsy_to_pathrep,2026-02-16,1.4444444444444444,0.7264831572567789,1,3
ALL_MC_BASELINE,biopsy_to_pathrep,2026-02-23,1.6428571428571428,0.633323693776651,1,3
ALL_MC_BASELINE,biopsy_to_pathrep,2026-03-02,2.3333333333333335,1.1751393027860062,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-03-09,1.9375,0.9979144919948469,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-03-16,1.6666666666666667,0.8997354108424374,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-03-23,1.8571428571428572,0.8644378215075663,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-03-30,2.0,0.8451542547285166,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-04-06,2.5,1.1504474832710556,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-04-13,2.588235294117647,1.4168108346481794,1,6
ALL_MC_BASELINE,biopsy_to_pathrep,2026-04-20,1.4375,1.0307764064044151,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-04-27,1.7894736842105263,0.8549819600709617,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-05-04,2.176470588235294,0.8828430011649198,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-05-11,2.3125,1.1954775893619531,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-05-18,1.9375,0.9979144919948469,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-05-25,1.9333333333333333,0.8837151016885368,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-06-01,2.8333333333333335,1.337115846843043,1,6
ALL_MC_BASELINE,biopsy_to_pathrep,2026-06-08,1.8235294117647058,1.0145993123917847,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-06-15,2.0625,0.9979144919948469,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-06-22,2.4705882352941178,1.4194033543545475,1,6
ALL_MC_BASELINE,biopsy_to_pathrep,2026-06-29,1.5,0.7071067811865476,1,3
ALL_MC_BASELINE,biopsy_to_pathrep,2026-07-06,1.9411764705882353,0.8993461677306268,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-07-13,1.9375,1.0626225419530055,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-07-20,2.6153846153846154,1.2608503439122305,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-07-27,2.235294117647059,0.903424856082804,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-08-03,1.9473684210526316,0.9112679939102143,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-08-10,2.4375,1.364734406395618,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-08-17,2.7222222222222223,1.5264551613058026,1,7
ALL_MC_BASELINE,biopsy_to_pathrep,2026-08-24,2.3157894736842106,1.2495613265350083,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-08-31,1.9375,0.9287087810503355,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-09-07,1.95,0.998683343734455,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-09-14,1.625,0.7187952884282608,1,3
ALL_MC_BASELINE,biopsy_to_pathrep,2026-09-21,2.2941176470588234,1.447614670861731,1,6
ALL_MC_BASELINE,biopsy_to_pathrep,2026-09-28,2.235294117647059,1.251469724199605,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-10-05,2.0,1.2366938848016846,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-10-12,2.4375,1.152894907034751,1,5
ALL_MC_BASELINE,biopsy_to_pathrep,2026-10-19,2.1052631578947367,1.4100723717480785,1,6
ALL_MC_BASELINE,biopsy_to_pathrep,2026-10-26,1.8333333333333333,0.8348471099367218,1,3
ALL_MC_BASELINE,biopsy_to_pathrep,2026-11-02,1.8571428571428572,0.9492622930986468,1,3
ALL_MC_BASELINE,biopsy_to_pathrep,2026-11-09,2.5625,1.459166428707386,1,7
ALL_MC_BASELINE,biopsy_to_pathrep,2026-11-16,2.0,0.966091783079296,1,4
ALL_MC_BASELINE,biopsy_to_pathrep,2026-11-23,2.0,0.9258200997725514,1,4
