seed,ALL_MC_BASELINE,PROSTAD,delta
1,50,51,1
2,68,68,0
3,62,66,4
4,82,83,1
5,55,57,2
6,59,60,1
7,56,59,3
8,55,54,-1
9,67,66,-1
10,59,61,2
11,53,56,3
12,66,67,1
13,55,56,1
14,58,59,1
15,67,71,4
16,66,67,1
17,48,50,2
18,63,64,1
19,52,53,1
20,59,59,0
