event,count_mean_ALL_MC_BASELINE,count_mean_PROSTAD,count_std_ALL_MC_BASELINE,count_std_PROSTAD,difference_mean
MDT_occured,142.45,145.45,14.456741279453423,14.310375330691473,3.0
Outpatient_appointment_occured,58.6,60.25,6.227274473509342,5.99890340856253,1.6499999999999986
Path_report_outcome,76.3,78.8,7.595705157660166,6.724660038364688,2.5
Path_report_recieved,76.3,78.8,7.595705157660166,6.724660038364688,2.5
Treatment_options_MDT_occured,60.5,62.05,6.411338640088723,6.427531244166522,1.5499999999999972
biopsy_done,78.5,80.7,7.6948376406386565,6.641971806149452,2.200000000000003
mri_performed,142.8,145.45,14.52982413774111,14.310375330691473,2.6499999999999773
mri_report_ready,142.45,145.45,14.456741279453423,14.310375330691473,3.0
referral_received,152.3,152.3,14.448092206968107,14.448092206968107,0.0
