,wait_ref_to_mri,wait_mri_to_report,wait_report_to_biopmdt,wait_biopmdt_to_biopsy,wait_biopsy_to_pathreport,wait_pathrep_to_treatmdt,wait_treatmdt_to_outpat
wait_ref_to_mri,1.0,0.1372235506694707,-0.056869655013030006,0.1514023315504583,0.029305413590064458,-0.06161194873454945,-0.04885993744548688
wait_mri_to_report,0.1372235506694707,1.0,0.08682580598332372,-0.0013777328891366786,0.06397864256842767,-0.2901194210290276,-0.0688834444966899
wait_report_to_biopmdt,-0.056869655013030006,0.08682580598332372,1.0,-0.010296214660376914,0.023074188526304794,-0.2072107407738045,-0.10075948066050107
wait_biopmdt_to_biopsy,0.1514023315504583,-0.0013777328891366786,-0.010296214660376914,1.0,0.11575744786930281,-0.12963461720700128,-0.0073831283310649585
wait_biopsy_to_pathreport,0.029305413590064458,0.06397864256842767,0.023074188526304794,0.11575744786930281,1.0,0.01208835356836182,-0.04860960620737365
wait_pathrep_to_treatmdt,-0.06161194873454945,-0.2901194210290276,-0.2072107407738045,-0.12963461720700128,0.01208835356836182,1.0,-0.06786124141172487
wait_treatmdt_to_outpat,-0.04885993744548688,-0.0688834444966899,-0.10075948066050107,-0.0073831283310649585,-0.04860960620737365,-0.06786124141172487,1.0
