,wait_ref_to_mri,wait_mri_to_report,wait_report_to_biopmdt,wait_biopmdt_to_biopsy,wait_biopsy_to_pathreport,wait_pathrep_to_treatmdt,wait_treatmdt_to_outpat
wait_ref_to_mri,1.0,0.203452333458116,-0.0818359717251916,0.22227830296009518,0.04122826341748363,-0.08328151129033352,-0.08344299177408442
wait_mri_to_report,0.203452333458116,1.0,0.12479909000471923,-0.005298820228733923,0.08772158521785227,-0.37659993370689165,-0.08294362275623926
wait_report_to_biopmdt,-0.0818359717251916,0.12479909000471923,1.0,-0.006899065518630233,0.03068452519797107,-0.2691009522281038,-0.13663435765724022
wait_biopmdt_to_biopsy,0.22227830296009518,-0.005298820228733923,-0.006899065518630233,1.0,0.166573671011109,-0.15828788028615473,0.013501954762946517
wait_biopsy_to_pathreport,0.04122826341748363,0.08772158521785227,0.03068452519797107,0.166573671011109,1.0,0.047118240255457355,-0.06785569041692883
wait_pathrep_to_treatmdt,-0.08328151129033352,-0.37659993370689165,-0.2691009522281038,-0.15828788028615473,0.047118240255457355,1.0,-0.08614870839893128
wait_treatmdt_to_outpat,-0.08344299177408442,-0.08294362275623926,-0.13663435765724022,0.013501954762946517,-0.06785569041692883,-0.08614870839893128,1.0
