sim_waits
18.0
21.0
30.0
52.0
29.0
40.0
25.0
46.0
24.0
24.0
25.0
50.0
24.0
17.0
24.0
24.0
32.0
25.0
26.0
35.0
11.0
27.0
68.0
44.0
24.0
29.0
16.0
37.0
17.0
25.0
23.0
17.0
31.0
23.0
35.0
35.0
63.0
70.0
30.0
24.0
60.0
46.0
58.0
23.0
16.0
25.0
52.0
25.0
22.0
23.0
21.0
46.0
35.0
19.0
22.0
25.0
14.0
35.0
69.0
19.0
25.0
27.0
50.0
17.0
40.0
31.0
23.0
18.0
39.0
60.0
54.0
42.0
17.0
29.0
37.0
48.0
40.0
54.0
41.0
32.0
31.0
40.0
41.0
46.0
20.0
23.0
70.0
51.0
25.0
39.0
