transition,ALL_MC_BASELINE,PROSTAD,difference
biopsy_done -> path_report,0.9583333333333334,0.974025974025974,0.015692640692640647
path_report -> treat_mdt,0.8405797101449275,0.7733333333333333,-0.06724637681159418
treat_mdt -> outpatient,0.9827586206896551,0.9827586206896551,0.0
