scenario,mean_days,median_days,p90_days,pct_within_62,delta_mean_vs_baseline,delta_median_vs_baseline,delta_pct_within_62
ALL_BASELINE,94.61680265941372,91.0,122.0,2.5385312783318223,0.0,0.0,0.0
ALL_PROSTAD,143.84959349593495,144.0,210.9000000000001,4.645760743321719,49.23279083652123,53.0,2.1072294649898966
OBS_MIX,87.32798789712557,85.0,116.0,12.012102874432678,-7.288814762288155,-6.0,9.473571596100856
