pathway_type,n,mean_days,median_days,p75,p90,pct_within_62
BASELINE,1655,94.7226586102719,92.0,106.0,123.0,2.416918429003021
PROSTAD,1650,79.91090909090909,77.0,93.0,109.10000000000014,21.636363636363637
