event,count_mean_ALL_BASELINE,count_mean_ALL_PROSTAD,count_mean_OBS_MIX,count_std_ALL_BASELINE,count_std_ALL_PROSTAD,count_std_OBS_MIX,obs_mix_minus_baseline,allpros_minus_baseline
MDT_occured,409.65,207.05,406.15,19.407743978005,0.9986833437344512,13.043550533743323,-3.5,-202.59999999999997
Outpatient_appointment_occured,165.45,86.1,165.25,13.292162312707761,6.5686656499667135,11.442648754825774,-0.19999999999998863,-79.35
Path_report_outcome,218.95,111.65,218.3,15.181273089947988,6.183807377676842,12.93343280844364,-0.6499999999999773,-107.29999999999998
Path_report_recieved,218.95,111.65,218.3,15.181273089947988,6.183807377676842,12.93343280844364,-0.6499999999999773,-107.29999999999998
Treatment_options_MDT_occured,172.75,88.55,171.5,12.710853215802794,6.3616863040847065,11.199154103394548,-1.25,-84.2
biopsy_done,225.4,114.65,224.4,15.377358612412499,6.063479980480204,12.93872197381911,-1.0,-110.75
mri_performed,425.45,207.05,413.55,18.913862919200714,0.9986833437344512,13.616843285160906,-11.899999999999977,-218.39999999999998
mri_report_ready,416.5,207.05,409.5,19.516524712204923,0.9986833437344512,13.480980754576544,-7.0,-209.45
referral_received,456.5,456.5,456.5,19.225805027289976,19.225805027289976,19.225805027289976,0.0,0.0
