stage,total_arrivals_mean_ALL_BASELINE,total_arrivals_mean_ALL_PROSTAD,total_arrivals_mean_OBS_MIX,total_arrivals_std_ALL_BASELINE,total_arrivals_std_ALL_PROSTAD,total_arrivals_std_OBS_MIX,mean_daily_arrivals_mean_ALL_BASELINE,mean_daily_arrivals_mean_ALL_PROSTAD,mean_daily_arrivals_mean_OBS_MIX,peak_daily_arrivals_mean_ALL_BASELINE,peak_daily_arrivals_mean_ALL_PROSTAD,peak_daily_arrivals_mean_OBS_MIX,mean_in_stage_mean_ALL_BASELINE,mean_in_stage_mean_ALL_PROSTAD,mean_in_stage_mean_OBS_MIX,mean_in_stage_std_ALL_BASELINE,mean_in_stage_std_ALL_PROSTAD,mean_in_stage_std_OBS_MIX,peak_in_stage_mean_ALL_BASELINE,peak_in_stage_mean_ALL_PROSTAD,peak_in_stage_mean_OBS_MIX,completion_ratio_mean_ALL_BASELINE,completion_ratio_mean_ALL_PROSTAD,completion_ratio_mean_OBS_MIX,completion_ratio_std_ALL_BASELINE,completion_ratio_std_ALL_PROSTAD,completion_ratio_std_OBS_MIX,mix_arrival_pct_change,mix_peak_pct_change,mix_in_stage_pct_change,mix_completion_change,allpros_arrival_pct_change,allpros_peak_pct_change,allpros_in_stage_pct_change,allpros_completion_change,mean_wait_days_mean_ALL_BASELINE,mean_wait_days_mean_ALL_PROSTAD,mean_wait_days_mean_OBS_MIX,mean_wait_days_std_ALL_BASELINE,mean_wait_days_std_ALL_PROSTAD,mean_wait_days_std_OBS_MIX,median_wait_days_mean_ALL_BASELINE,median_wait_days_mean_ALL_PROSTAD,median_wait_days_mean_OBS_MIX,p90_wait_days_mean_ALL_BASELINE,p90_wait_days_mean_ALL_PROSTAD,p90_wait_days_mean_OBS_MIX,mix_wait_pct_change,allpros_wait_pct_change,stage_flag_obs_mix,stage_flag_all_prostad
biopmdt_to_biopsy,246.75,124.2,244.65,14.344905569207267,6.395722254592885,13.69316002896875,1.4150605245538181,2.4528227290916367,1.7488951690017398,4.05,4.0,5.45,18.02260273972603,9.164794520547947,17.944383561643836,1.3638344273558407,0.5831551637327733,1.2173185108652702,30.85,15.35,29.7,0.9149850968431655,0.9232264544110904,0.9189355226889955,0.02064125404511506,0.018317221702834695,0.016210774842331906,23.591545284127182,34.56790123456791,-0.4340060046364996,0.003950425845829941,73.33694824573207,-1.2345679012345634,-49.14832972295063,0.008241357567924879,,,,,,,,,,,,,,,🟠 PRESSURE ↑,🟠 PRESSURE ↑
biopsy_to_pathrep,225.85,114.65,224.8,15.503055725956264,6.063479980480204,12.94360236198807,1.3912637749920054,1.285785444129316,1.422650534168255,4.0,3.35,4.3,5.284109589041096,2.6904109589041094,5.260410958904109,0.4142212258068139,0.2135599350262967,0.36277757553073386,13.55,7.5,13.45,0.9719148478279054,0.9737755149367938,0.973037715202827,0.011583752704019819,0.012946721887906019,0.009294912854378449,2.2559891043256637,7.499999999999996,-0.44848861927723876,0.0011228673749216211,-7.581476119673678,-16.249999999999996,-49.08487582309328,0.0018606671088884363,8.61782077200198,8.572673214607164,8.606763406795562,0.2764823704371538,0.4486205774548426,0.26618474692068284,7.2,7.275,7.25,15.38,15.190000000000001,15.25,-0.12830813611653094,-0.5238860100397339,⚪ STABLE,🟢 IMPROVED
mri_to_report,426.05,207.05,413.9,19.104904302849896,0.9986833437344512,13.672484854819299,1.7342399912941395,3.9817307692307695,2.2383464061391978,5.4,4.0,7.35,8.517534246575343,0.5672602739726027,4.806575342465753,0.4707723139580494,0.002736118749957428,0.30863549549239516,18.05,4.0,13.6,0.979049423147233,1.0,0.9900950052237064,0.007928813094142822,0.0,0.002981871042539648,29.06785781527732,36.11111111111109,-43.568464730290465,0.011045582076473437,129.59514191916932,-25.92592592592593,-93.34008813406672,0.020950576852767022,7.3388668281287694,1.0,4.17431816954247,0.2768190663385853,0.0,0.26241983433176724,7.05,1.0,1.0,13.910000000000002,1.0,10.934999999999999,-43.1203990029777,-86.37391816176374,🚀 FASTER FLOW,🚀 FASTER FLOW
pathrep_to_treatmdt,179.7,90.85,179.1,12.957826328435441,6.667083320313313,11.670475568716125,1.3041628049031866,1.1463969341527172,1.3130942999731867,3.6,2.7,3.8,5.278630136986301,2.6932876712328766,5.242465753424658,0.38842940630179335,0.21178869379699847,0.3390980776946901,13.95,7.9,13.65,0.9647121529734047,0.974901189949224,0.9599534829561314,0.012851852767762796,0.01506554418578876,0.01623268691551867,0.6848451003525707,5.555555555555548,-0.6851092541651408,-0.00475867001727337,-12.097099392600837,-24.999999999999996,-48.97752634037473,0.010189036975819299,,,,,,,,,,,,,,,⚪ STABLE,🟢 IMPROVED
ref_to_mri,456.5,456.5,456.5,19.225805027289976,19.225805027289976,19.225805027289976,2.1115343041461365,2.1115343041461365,2.1115343041461365,6.75,6.75,6.75,29.56205479452055,0.0,14.88794520547945,1.6187387917445193,0.0,1.119985615569978,44.9,0.0,25.15,0.9332499329978816,0.4543048772038973,0.9072270426925506,0.010767605942156663,0.018797233009572038,0.021515955872401914,0.0,0.0,-49.63832754873659,-0.026022890305331003,0.0,0.0,-100.0,-0.47894505579398433,24.102005236688054,91.48950083352739,22.99579131391618,0.5749933430818489,6.703284518097999,4.7539703697670195,21.9,91.3,21.325,39.59500000000001,162.70499999999998,39.35,-4.589717377905127,279.592900819149,🟢 IMPROVED,🟢 IMPROVED
report_to_biopmdt,417.15,207.05,409.8,19.588597650029392,0.9986833437344512,13.586370879826978,1.7268860241776174,3.9817307692307695,2.2108996373277536,5.1,4.0,6.75,5.961917808219178,0.0,2.969178082191781,0.2752197999994195,0.0,0.18262818321162055,14.1,0.0,8.7,0.9836996450775389,1.0,0.9918850728624754,0.005322440741840639,0.0,0.005089281259336298,28.02811571659077,32.352941176470594,-50.197601213179546,0.008185427784936472,130.57287588663883,-21.568627450980387,-100.0,0.01630035492246107,5.2303293941863815,0.0,2.596854766595056,0.10136346386289492,0.0,0.09717139003955777,5.9,0.0,0.25,8.0,0.0,7.380000000000001,-50.35007222525003,-100.0,🚀 FASTER FLOW,🚀 FASTER FLOW
treatmdt_to_outpat,173.35,88.55,171.9,12.608581037907229,6.3616863040847065,11.158664323013044,1.3130306543928385,1.1533860031446244,1.2962256629858206,3.7,2.75,3.55,5.2526027397260275,2.6934246575342464,5.2194520547945205,0.581977465960851,0.27152897254897457,0.5336327607252724,13.8,7.6,13.55,0.9556599224879558,0.972196602724547,0.9617787558695042,0.019625968051056913,0.016594743841878482,0.016980038938970505,-1.2798628387536535,-4.054054054054063,-0.6311287293970417,0.006118833381548394,-12.15848622529196,-25.67567567567568,-48.722094721468814,0.01653668023659116,11.159760225170533,11.15790785272455,11.140347865824612,0.6219307794071995,0.9093549950364973,0.6331648355981712,11.95,11.8,12.0,15.645,16.425000000000004,15.49,-0.17394960961739087,-0.016598676034319564,⚪ STABLE,🟢 IMPROVED
