scenario,seed,stage,total_arrivals,mean_daily_arrivals,peak_daily_arrivals,mean_in_stage,peak_in_stage,total_completed,completion_ratio
OBS_MIX,14,mri_to_report,418,2.2717391304347827,7,4.994520547945205,13,411,0.9832535885167464
OBS_MIX,14,report_to_biopmdt,411,2.140625,6,3.0575342465753423,9,407,0.9902676399026764
OBS_MIX,14,biopmdt_to_biopsy,237,1.72992700729927,5,16.63013698630137,27,217,0.9156118143459916
OBS_MIX,14,biopsy_to_pathrep,217,1.35625,4,5.117808219178082,14,212,0.9769585253456221
OBS_MIX,14,pathrep_to_treatmdt,171,1.3153846153846154,4,4.764383561643836,15,159,0.9298245614035088
OBS_MIX,14,treatmdt_to_outpat,159,1.325,5,4.342465753424658,12,148,0.9308176100628931
ALL_PROSTAD,14,ref_to_mri,490,2.2685185185185186,6,0.0,0,208,0.42448979591836733
ALL_PROSTAD,14,mri_to_report,208,4.0,4,0.5698630136986301,4,208,1.0
ALL_PROSTAD,14,report_to_biopmdt,208,4.0,4,0.0,0,208,1.0
ALL_PROSTAD,14,biopmdt_to_biopsy,115,2.2115384615384617,4,8.263013698630138,13,107,0.9304347826086956
ALL_PROSTAD,14,biopsy_to_pathrep,107,1.2298850574712643,3,2.3808219178082193,6,102,0.9532710280373832
ALL_PROSTAD,14,pathrep_to_treatmdt,81,1.1911764705882353,3,2.210958904109589,8,79,0.9753086419753086
ALL_PROSTAD,14,treatmdt_to_outpat,79,1.144927536231884,3,2.367123287671233,8,78,0.9873417721518988
ALL_BASELINE,15,ref_to_mri,470,2.0982142857142856,7,30.783561643835615,46,444,0.9446808510638298
ALL_BASELINE,15,mri_to_report,444,1.8048780487804879,7,9.386301369863014,20,440,0.990990990990991
ALL_BASELINE,15,report_to_biopmdt,440,1.71875,5,6.076712328767123,14,428,0.9727272727272728
ALL_BASELINE,15,biopmdt_to_biopsy,267,1.435483870967742,4,19.775342465753425,34,246,0.9213483146067416
ALL_BASELINE,15,biopsy_to_pathrep,246,1.4642857142857142,5,5.498630136986302,15,237,0.9634146341463414
ALL_BASELINE,15,pathrep_to_treatmdt,189,1.3597122302158273,4,5.580821917808219,15,184,0.9735449735449735
ALL_BASELINE,15,treatmdt_to_outpat,184,1.4153846153846155,5,6.076712328767123,19,179,0.9728260869565217
OBS_MIX,15,ref_to_mri,470,2.0982142857142856,7,16.02191780821918,27,432,0.9191489361702128
OBS_MIX,15,mri_to_report,432,2.238341968911917,10,5.487671232876712,13,429,0.9930555555555556
OBS_MIX,15,report_to_biopmdt,429,2.145,7,3.202739726027397,10,420,0.9790209790209791
OBS_MIX,15,biopmdt_to_biopsy,263,1.7891156462585034,6,19.534246575342465,34,241,0.9163498098859315
OBS_MIX,15,biopsy_to_pathrep,241,1.4606060606060607,4,5.410958904109589,13,237,0.983402489626556
OBS_MIX,15,pathrep_to_treatmdt,189,1.35,4,5.542465753424658,14,182,0.9629629629629629
OBS_MIX,15,treatmdt_to_outpat,182,1.3284671532846715,3,6.002739726027397,15,178,0.978021978021978
ALL_PROSTAD,15,ref_to_mri,470,2.0982142857142856,7,0.0,0,208,0.4425531914893617
ALL_PROSTAD,15,mri_to_report,208,4.0,4,0.5698630136986301,4,208,1.0
ALL_PROSTAD,15,report_to_biopmdt,208,4.0,4,0.0,0,208,1.0
ALL_PROSTAD,15,biopmdt_to_biopsy,134,2.576923076923077,4,9.986301369863014,17,123,0.917910447761194
ALL_PROSTAD,15,biopsy_to_pathrep,123,1.28125,3,2.863013698630137,8,119,0.967479674796748
ALL_PROSTAD,15,pathrep_to_treatmdt,98,1.1395348837209303,2,2.9917808219178084,8,95,0.9693877551020408
ALL_PROSTAD,15,treatmdt_to_outpat,95,1.130952380952381,2,3.202739726027397,7,92,0.968421052631579
ALL_BASELINE,16,ref_to_mri,465,2.2142857142857144,8,29.893150684931506,50,432,0.9290322580645162
ALL_BASELINE,16,mri_to_report,432,1.763265306122449,6,8.621917808219179,21,420,0.9722222222222222
ALL_BASELINE,16,report_to_biopmdt,420,1.6935483870967742,5,5.7835616438356166,16,414,0.9857142857142858
ALL_BASELINE,16,biopmdt_to_biopsy,260,1.3829787234042554,4,20.112328767123287,40,229,0.8807692307692307
ALL_BASELINE,16,biopsy_to_pathrep,229,1.4223602484472049,4,5.271232876712329,15,226,0.9868995633187773
ALL_BASELINE,16,pathrep_to_treatmdt,186,1.3984962406015038,4,5.936986301369863,18,181,0.9731182795698925
ALL_BASELINE,16,treatmdt_to_outpat,181,1.3021582733812949,4,5.712328767123288,19,171,0.9447513812154696
OBS_MIX,16,ref_to_mri,465,2.2142857142857144,8,16.243835616438357,29,424,0.9118279569892473
OBS_MIX,16,mri_to_report,424,2.185567010309278,9,5.336986301369863,16,420,0.9905660377358491
OBS_MIX,16,report_to_biopmdt,420,2.1105527638190953,6,2.967123287671233,9,415,0.9880952380952381
OBS_MIX,16,biopmdt_to_biopsy,262,1.7702702702702702,5,20.213698630136985,33,229,0.8740458015267175
OBS_MIX,16,biopsy_to_pathrep,229,1.4967320261437909,6,5.219178082191781,14,225,0.982532751091703
OBS_MIX,16,pathrep_to_treatmdt,184,1.4153846153846155,5,5.852054794520548,15,178,0.967391304347826
OBS_MIX,16,treatmdt_to_outpat,178,1.3692307692307693,3,5.6657534246575345,17,169,0.949438202247191
ALL_PROSTAD,16,ref_to_mri,465,2.2142857142857144,8,0.0,0,208,0.44731182795698926
ALL_PROSTAD,16,mri_to_report,208,4.0,4,0.5698630136986301,4,208,1.0
ALL_PROSTAD,16,report_to_biopmdt,208,4.0,4,0.0,0,208,1.0
ALL_PROSTAD,16,biopmdt_to_biopsy,133,2.5576923076923075,4,10.506849315068493,18,121,0.9097744360902256
ALL_PROSTAD,16,biopsy_to_pathrep,121,1.315217391304348,4,2.750684931506849,6,116,0.9586776859504132
ALL_PROSTAD,16,pathrep_to_treatmdt,96,1.1566265060240963,3,2.9643835616438357,8,93,0.96875
ALL_PROSTAD,16,treatmdt_to_outpat,93,1.1923076923076923,3,2.706849315068493,7,89,0.956989247311828
ALL_BASELINE,17,ref_to_mri,451,2.05,7,29.873972602739727,43,415,0.9201773835920177
ALL_BASELINE,17,mri_to_report,415,1.680161943319838,5,8.712328767123287,18,409,0.9855421686746988
ALL_BASELINE,17,report_to_biopmdt,409,1.683127572016461,5,5.964383561643835,12,403,0.9853300733496333
ALL_BASELINE,17,biopmdt_to_biopsy,231,1.3352601156069364,3,17.28767123287671,27,208,0.9004329004329005
ALL_BASELINE,17,biopsy_to_pathrep,208,1.3333333333333333,5,4.791780821917809,14,201,0.9663461538461539
ALL_BASELINE,17,pathrep_to_treatmdt,160,1.1940298507462686,3,5.038356164383561,12,159,0.99375
ALL_BASELINE,17,treatmdt_to_outpat,159,1.325,4,4.7095890410958905,13,158,0.9937106918238994
OBS_MIX,17,ref_to_mri,451,2.05,7,14.147945205479452,21,397,0.8802660753880266
OBS_MIX,17,mri_to_report,397,2.1344086021505375,6,4.545205479452055,13,394,0.9924433249370277
OBS_MIX,17,report_to_biopmdt,394,2.201117318435754,7,2.7643835616438355,9,393,0.9974619289340102
OBS_MIX,17,biopmdt_to_biopsy,224,1.7364341085271318,5,16.85753424657534,28,203,0.90625
OBS_MIX,17,biopsy_to_pathrep,203,1.4195804195804196,4,4.657534246575342,12,198,0.9753694581280788
OBS_MIX,17,pathrep_to_treatmdt,158,1.2440944881889764,4,4.964383561643835,13,156,0.9873417721518988
OBS_MIX,17,treatmdt_to_outpat,156,1.2380952380952381,3,4.6438356164383565,13,155,0.9935897435897436
ALL_PROSTAD,17,ref_to_mri,451,2.05,7,0.0,0,207,0.458980044345898
ALL_PROSTAD,17,mri_to_report,207,3.980769230769231,4,0.5671232876712329,4,207,1.0
ALL_PROSTAD,17,report_to_biopmdt,207,3.980769230769231,4,0.0,0,207,1.0
ALL_PROSTAD,17,biopmdt_to_biopsy,124,2.4313725490196076,4,9.32054794520548,14,114,0.9193548387096774
ALL_PROSTAD,17,biopsy_to_pathrep,114,1.3411764705882352,3,2.6191780821917807,7,111,0.9736842105263158
ALL_PROSTAD,17,pathrep_to_treatmdt,85,1.2142857142857142,4,2.627397260273973,9,84,0.9882352941176471
ALL_PROSTAD,17,treatmdt_to_outpat,84,1.1830985915492958,3,2.191780821917808,9,78,0.9285714285714286
ALL_BASELINE,18,ref_to_mri,466,2.1574074074074074,7,30.70958904109589,50,426,0.9141630901287554
ALL_BASELINE,18,mri_to_report,426,1.697211155378486,6,8.326027397260274,17,413,0.9694835680751174
ALL_BASELINE,18,report_to_biopmdt,413,1.7352941176470589,6,5.879452054794521,14,404,0.9782082324455206
ALL_BASELINE,18,biopmdt_to_biopsy,241,1.4176470588235295,3,18.202739726027396,30,215,0.8921161825726142
ALL_BASELINE,18,biopsy_to_pathrep,215,1.3694267515923566,3,5.134246575342465,11,209,0.9720930232558139
ALL_BASELINE,18,pathrep_to_treatmdt,180,1.2857142857142858,3,5.397260273972603,14,173,0.9611111111111111
ALL_BASELINE,18,treatmdt_to_outpat,173,1.2357142857142858,4,5.109589041095891,12,168,0.9710982658959537
OBS_MIX,18,ref_to_mri,466,2.1574074074074074,7,15.367123287671232,28,410,0.8798283261802575
OBS_MIX,18,mri_to_report,410,2.1693121693121693,6,4.895890410958904,13,406,0.9902439024390244
