scenario,seed,stage,mean_wait_days,median_wait_days,p90_wait_days
ALL_PROSTAD,5,treatmdt_to_outpat,10.80722891566265,12.0,12.799999999999997
ALL_BASELINE,6,biopsy_to_pathrep,8.450495049504951,7.0,15.0
ALL_BASELINE,6,mri_to_report,7.389175257731959,7.0,15.0
ALL_BASELINE,6,ref_to_mri,23.8479381443299,22.0,37.30000000000001
ALL_BASELINE,6,report_to_biopmdt,5.247422680412371,6.0,8.0
ALL_BASELINE,6,treatmdt_to_outpat,11.867088607594937,12.0,13.0
OBS_MIX,6,biopsy_to_pathrep,8.484848484848484,7.0,15.300000000000011
OBS_MIX,6,mri_to_report,4.074866310160428,1.0,10.699999999999989
OBS_MIX,6,ref_to_mri,23.93582887700535,20.0,47.69999999999999
OBS_MIX,6,report_to_biopmdt,2.588235294117647,0.0,8.0
OBS_MIX,6,treatmdt_to_outpat,11.851612903225806,12.0,13.0
ALL_PROSTAD,6,biopsy_to_pathrep,8.981132075471699,7.0,17.0
ALL_PROSTAD,6,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,6,ref_to_mri,95.87939698492463,97.0,168.0
ALL_PROSTAD,6,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,6,treatmdt_to_outpat,12.346153846153847,12.0,13.0
ALL_BASELINE,7,biopsy_to_pathrep,8.675257731958762,7.0,15.700000000000017
ALL_BASELINE,7,mri_to_report,7.628272251308901,7.0,14.0
ALL_BASELINE,7,ref_to_mri,24.293193717277486,22.0,41.0
ALL_BASELINE,7,report_to_biopmdt,5.269633507853404,6.0,8.0
ALL_BASELINE,7,treatmdt_to_outpat,11.537974683544304,12.0,26.0
OBS_MIX,7,biopsy_to_pathrep,8.595854922279793,7.0,15.0
OBS_MIX,7,mri_to_report,4.122340425531915,1.0,11.0
OBS_MIX,7,ref_to_mri,22.976063829787233,22.0,40.0
OBS_MIX,7,report_to_biopmdt,2.632978723404255,0.0,8.0
OBS_MIX,7,treatmdt_to_outpat,11.550632911392405,12.0,26.0
ALL_PROSTAD,7,biopsy_to_pathrep,9.122448979591837,7.0,15.0
ALL_PROSTAD,7,mri_to_report,1.0,1.0,1.0
ALL_PROSTAD,7,ref_to_mri,92.5618556701031,96.0,161.70000000000002
ALL_PROSTAD,7,report_to_biopmdt,0.0,0.0,0.0
ALL_PROSTAD,7,treatmdt_to_outpat,12.843373493975903,12.0,32.0
ALL_BASELINE,8,biopsy_to_pathrep,8.594059405940595,7.0,15.0
ALL_BASELINE,8,mri_to_report,7.265193370165746,7.0,13.0
ALL_BASELINE,8,ref_to_mri,23.723756906077348,22.0,38.0
ALL_BASELINE,8,report_to_biopmdt,5.265193370165746,6.0,8.0
ALL_BASELINE,8,treatmdt_to_outpat,10.339285714285714,12.0,12.0
OBS_MIX,8,biopsy_to_pathrep,8.595238095238095,7.0,15.099999999999994
