stage,mean_wait_days_mean_ALL_BASELINE,mean_wait_days_mean_ALL_PROSTAD,mean_wait_days_mean_OBS_MIX,mean_wait_days_std_ALL_BASELINE,mean_wait_days_std_ALL_PROSTAD,mean_wait_days_std_OBS_MIX,median_wait_days_mean_ALL_BASELINE,median_wait_days_mean_ALL_PROSTAD,median_wait_days_mean_OBS_MIX,p90_wait_days_mean_ALL_BASELINE,p90_wait_days_mean_ALL_PROSTAD,p90_wait_days_mean_OBS_MIX,mix_wait_pct_change,allpros_wait_pct_change
biopsy_to_pathrep,8.61782077200198,8.572673214607164,8.606763406795562,0.2764823704371538,0.4486205774548426,0.26618474692068284,7.2,7.275,7.25,15.38,15.190000000000001,15.25,-0.12830813611653094,-0.5238860100397339
mri_to_report,7.3388668281287694,1.0,4.17431816954247,0.2768190663385853,0.0,0.26241983433176724,7.05,1.0,1.0,13.910000000000002,1.0,10.934999999999999,-43.1203990029777,-86.37391816176374
ref_to_mri,24.102005236688054,91.48950083352739,22.99579131391618,0.5749933430818489,6.703284518097999,4.7539703697670195,21.9,91.3,21.325,39.59500000000001,162.70499999999998,39.35,-4.589717377905127,279.592900819149
report_to_biopmdt,5.2303293941863815,0.0,2.596854766595056,0.10136346386289492,0.0,0.09717139003955777,5.9,0.0,0.25,8.0,0.0,7.380000000000001,-50.35007222525003,-100.0
treatmdt_to_outpat,11.159760225170533,11.15790785272455,11.140347865824612,0.6219307794071995,0.9093549950364973,0.6331648355981712,11.95,11.8,12.0,15.645,16.425000000000004,15.49,-0.17394960961739087,-0.016598676034319564
