scenario,mean_days,median_days,pct_within_62,delta_mean_vs_baseline,delta_pct_within_62
ALL_BASELINE,94.25769462884732,91.0,2.6252263126131563,0.0,0.0
ALL_PROSTAD,152.0797583081571,152.0,1.027190332326284,57.82206367930978,-1.5980359802868722
OBS_MIX,92.30356046654389,90.0,4.849600982197668,-1.9541341623034327,2.2243746695845115
