pathway_type,n,mean_days,median_days,p75,p90,pct_within_62
BASELINE,1657,94.42063971031986,91.0,106.0,122.0,2.5347012673506337
PROSTAD,1650,79.91090909090909,77.0,93.0,109.10000000000014,21.636363636363637
