scenario,n,mean_days,median_days,std_days,min_days,max_days,p25,p75,pct_within_62
ALL_BASELINE,3314,94.25769462884732,91.0,20.341677909730222,41,197,80.0,106.0,2.6252263126131563
ALL_PROSTAD,1722,143.84959349593495,144.0,50.220374575424,37,257,102.0,186.0,4.645760743321719
OBS_MIX,3307,87.18113093438161,85.0,22.119816871260905,30,197,71.0,101.0,12.065315996371334
