dataset_pre_real,stage,n_pre_real,mean_pre_real,median_pre_real,std_pre_real,min_pre_real,p75_pre_real,p90_pre_real,p95_pre_real,max_pre_real,dataset_pre_sim,n_pre_sim,mean_pre_sim,median_pre_sim,std_pre_sim,min_pre_sim,p75_pre_sim,p90_pre_sim,p95_pre_sim,max_pre_sim,dataset_post_real,n_post_real,mean_post_real,median_post_real,std_post_real,min_post_real,p75_post_real,p90_post_real,p95_post_real,max_post_real,dataset_post_sim,n_post_sim,mean_post_sim,median_post_sim,std_post_sim,min_post_sim,p75_post_sim,p90_post_sim,p95_post_sim,max_post_sim,real_change_mean,real_change_p90,sim_change_mean,sim_change_p90,difference_in_change_mean,difference_in_change_p90,baseline_sim_minus_real_mean,baseline_sim_minus_real_p90,post_sim_minus_real_mean,post_sim_minus_real_p90
pre_real,wait_biopmdt_to_biopsy,69,27.92753623188406,23.0,13.168946137409456,8.0,36.0,44.20000000000002,53.599999999999966,76.0,pre_sim,68,27.073529411764707,23.0,11.184098755343289,14.0,33.0,37.300000000000004,46.89999999999999,76.0,post_real,72,33.416666666666664,23.0,26.00365629762612,9.0,36.75,70.6,86.25000000000001,140.0,post_sim,93,27.86021505376344,23.0,13.180677060733116,8.0,35.0,47.79999999999998,52.39999999999995,76.0,5.489130434782606,26.399999999999977,0.7866856419987336,10.499999999999979,-4.702444792783872,-15.899999999999999,-0.854006820119352,-6.900000000000013,-5.556451612903224,-22.80000000000001
pre_real,wait_biopsy_to_pathrep,64,8.734375,7.0,4.831254684385499,1.0,11.25,15.700000000000003,17.849999999999994,24.0,pre_sim,65,8.076923076923077,7.0,5.206089260146754,1.0,13.0,14.600000000000001,17.599999999999994,24.0,post_real,72,10.222222222222221,8.0,9.851320383686362,3.0,12.0,14.0,16.900000000000006,84.0,post_sim,92,9.206521739130435,8.0,4.8596523266367475,2.0,13.0,15.0,20.450000000000003,24.0,1.4878472222222214,-1.7000000000000028,1.1295986622073588,0.3999999999999986,-0.3582485600148626,2.1000000000000014,-0.6574519230769234,-1.1000000000000014,-1.015700483091786,1.0
pre_real,wait_mri_to_report,150,7.406666666666666,7.0,4.905956750024364,0.0,10.0,14.0,15.549999999999983,28.0,pre_sim,141,7.617021276595745,7.0,4.989502658393469,0.0,10.0,15.0,16.0,28.0,post_real,0,,,,,,,,,post_sim,148,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,-6.617021276595745,-14.0,,,0.2103546099290785,1.0,,
pre_real,wait_pathrep_to_treatmdt,49,10.73469387755102,9.0,5.847989363177462,4.0,11.0,21.0,23.19999999999999,29.0,pre_sim,54,11.185185185185185,9.0,5.411636916497891,4.0,13.25,20.10000000000001,22.69999999999999,29.0,post_real,57,15.228070175438596,9.0,15.21044934982392,3.0,15.0,39.599999999999994,52.199999999999996,70.0,post_sim,72,10.277777777777779,9.0,4.8155330309797435,4.0,10.0,17.699999999999996,22.0,26.0,4.4933762978875755,18.599999999999994,-0.9074074074074066,-2.400000000000013,-5.400783705294982,-21.000000000000007,0.4504913076341648,-0.8999999999999915,-4.950292397660817,-21.9
pre_real,wait_ref_to_mri,150,25.28,22.0,14.205642134601865,6.0,29.0,42.099999999999994,49.0,114.0,pre_sim,145,24.49655172413793,22.0,12.43769144907428,6.0,30.0,38.0,49.0,79.0,post_real,152,13.125,13.0,5.673585245365036,4.0,14.0,19.0,22.0,42.0,post_sim,148,4.283783783783784,5.0,2.81163893072031,0.0,6.0,7.300000000000011,8.0,12.0,-12.155000000000001,-23.099999999999994,-20.212767940354148,-30.69999999999999,-8.057767940354147,-7.599999999999994,-0.7834482758620709,-4.099999999999994,-8.841216216216216,-11.699999999999989
pre_real,wait_report_to_biopmdt,147,5.238095238095238,6.0,2.419479547038746,0.0,7.0,8.0,8.0,10.0,pre_sim,136,5.264705882352941,6.0,2.4197805046391725,0.0,7.0,8.0,8.0,9.0,post_real,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,post_sim,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.238095238095238,-8.0,-5.264705882352941,-8.0,-0.026610644257702987,0.0,0.026610644257702987,0.0,0.0,0.0
pre_real,wait_treatmdt_to_outpat,49,11.183673469387756,12.0,7.30203587303955,0.0,12.0,13.0,29.599999999999966,39.0,pre_sim,52,10.23076923076923,11.0,6.602481365440988,0.0,12.0,13.0,26.0,32.0,post_real,51,5.823529411764706,12.0,13.459132040890218,-45.0,12.0,12.0,18.5,19.0,post_sim,66,11.818181818181818,12.0,7.37127291148987,4.0,12.0,13.0,32.0,39.0,-5.36014405762305,-1.0,1.5874125874125884,0.0,6.947556645035639,1.0,-0.952904238618526,0.0,5.994652406417113,1.0
