dataset_pre,stage,n_pre,mean_pre,median_pre,std_pre,min_pre,p75_pre,p90_pre,p95_pre,max_pre,dataset_post,n_post,mean_post,median_post,std_post,min_post,p75_post,p90_post,p95_post,max_post,dataset_sim,n_sim,mean_sim,median_sim,std_sim,min_sim,p75_sim,p90_sim,p95_sim,max_sim,real_change_mean,sim_change_mean,difference_in_change_mean,real_change_p90,sim_change_p90,difference_in_change_p90
pre,wait_biopmdt_to_biopsy,69,27.92753623188406,23.0,13.168946137409456,8.0,36.0,44.20000000000002,53.599999999999966,76.0,post,72,33.416666666666664,23.0,26.00365629762612,9.0,36.75,70.6,86.25000000000001,140.0,sim_post,93,27.86021505376344,23.0,13.180677060733116,8.0,35.0,47.79999999999998,52.39999999999995,76.0,5.489130434782606,-0.06732117812061844,-5.556451612903224,26.399999999999977,3.599999999999966,-22.80000000000001
pre,wait_biopsy_to_pathrep,64,8.734375,7.0,4.831254684385499,1.0,11.25,15.700000000000003,17.849999999999994,24.0,post,72,10.222222222222221,8.0,9.851320383686362,3.0,12.0,14.0,16.900000000000006,84.0,sim_post,92,9.206521739130435,8.0,4.8596523266367475,2.0,13.0,15.0,20.450000000000003,24.0,1.4878472222222214,0.4721467391304355,-1.015700483091786,-1.7000000000000028,-0.7000000000000028,1.0
pre,wait_mri_to_report,150,7.406666666666666,7.0,4.905956750024364,0.0,10.0,14.0,15.549999999999983,28.0,post,0,,,,,,,,,sim_post,148,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,-6.406666666666666,,,-13.0,
pre,wait_pathrep_to_treatmdt,49,10.73469387755102,9.0,5.847989363177462,4.0,11.0,21.0,23.19999999999999,29.0,post,57,15.228070175438596,9.0,15.21044934982392,3.0,15.0,39.599999999999994,52.199999999999996,70.0,sim_post,72,10.277777777777779,9.0,4.8155330309797435,4.0,10.0,17.699999999999996,22.0,26.0,4.4933762978875755,-0.45691609977324177,-4.950292397660817,18.599999999999994,-3.3000000000000043,-21.9
pre,wait_ref_to_mri,150,25.28,22.0,14.205642134601865,6.0,29.0,42.099999999999994,49.0,114.0,post,152,13.125,13.0,5.673585245365036,4.0,14.0,19.0,22.0,42.0,sim_post,148,4.283783783783784,5.0,2.81163893072031,0.0,6.0,7.300000000000011,8.0,12.0,-12.155000000000001,-20.99621621621622,-8.841216216216218,-23.099999999999994,-34.79999999999998,-11.699999999999989
pre,wait_report_to_biopmdt,147,5.238095238095238,6.0,2.419479547038746,0.0,7.0,8.0,8.0,10.0,post,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sim_post,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.238095238095238,-5.238095238095238,0.0,-8.0,-8.0,0.0
pre,wait_treatmdt_to_outpat,49,11.183673469387756,12.0,7.30203587303955,0.0,12.0,13.0,29.599999999999966,39.0,post,51,5.823529411764706,12.0,13.459132040890218,-45.0,12.0,12.0,18.5,19.0,sim_post,66,11.818181818181818,12.0,7.37127291148987,4.0,12.0,13.0,32.0,39.0,-5.36014405762305,0.6345083487940624,5.994652406417113,-1.0,0.0,1.0
