stage,mean_pre,mean_post,mean_sim,p90_pre,p90_post,p90_sim,real_change_mean,sim_change_mean,real_change_p90,sim_change_p90,difference_in_change_mean,difference_in_change_p90,rank_post_p90,rank_sim_p90,real_bottleneck_flag,sim_bottleneck_flag
wait_biopmdt_to_biopsy,27.92753623188406,33.416666666666664,27.86021505376344,44.20000000000002,70.6,47.79999999999998,5.489130434782606,-0.06732117812061844,26.399999999999977,3.599999999999966,-5.556451612903224,-22.80000000000001,1.0,1.0,True,True
wait_pathrep_to_treatmdt,10.73469387755102,15.228070175438596,10.277777777777779,21.0,39.599999999999994,17.699999999999996,4.4933762978875755,-0.45691609977324177,18.599999999999994,-3.3000000000000043,-4.950292397660817,-21.9,2.0,2.0,True,True
wait_ref_to_mri,25.28,13.125,4.283783783783784,42.099999999999994,19.0,7.300000000000011,-12.155000000000001,-20.99621621621622,-23.099999999999994,-34.79999999999998,-8.841216216216218,-11.699999999999989,3.0,5.0,False,False
wait_biopsy_to_pathrep,8.734375,10.222222222222221,9.206521739130435,15.700000000000003,14.0,15.0,1.4878472222222214,0.4721467391304355,-1.7000000000000028,-0.7000000000000028,-1.015700483091786,1.0,4.0,3.0,False,False
wait_treatmdt_to_outpat,11.183673469387756,5.823529411764706,11.818181818181818,13.0,12.0,13.0,-5.36014405762305,0.6345083487940624,-1.0,0.0,5.994652406417113,1.0,5.0,4.0,False,False
wait_report_to_biopmdt,5.238095238095238,0.0,0.0,8.0,0.0,0.0,-5.238095238095238,-5.238095238095238,-8.0,-8.0,0.0,0.0,6.0,7.0,False,False
wait_mri_to_report,7.406666666666666,,1.0,14.0,,1.0,,-6.406666666666666,,-13.0,,,,6.0,False,False
