scenario,n,mean_days,median_days,p90_days,pct_within_62
ALL_BASELINE,3314,94.25769462884732,91.0,121.0,2.6252263126131563
ALL_PROSTAD,1722,143.84959349593495,144.0,210.9000000000001,4.645760743321719
OBS_MIX,3307,87.18113093438161,85.0,116.0,12.065315996371334
