stage,mean_daily_arrivals_ALL_BASELINE,mean_daily_arrivals_ALL_PROSTAD,mean_daily_arrivals_OBS_MIX,mean_in_stage_ALL_BASELINE,mean_in_stage_ALL_PROSTAD,mean_in_stage_OBS_MIX,completion_ratio_ALL_BASELINE,completion_ratio_ALL_PROSTAD,completion_ratio_OBS_MIX,mean_wait_ALL_BASELINE,mean_wait_ALL_PROSTAD,mean_wait_OBS_MIX,mix_arrival_pct_change,mix_in_stage_pct_change,mix_completion_change,mix_wait_pct_change,allpros_arrival_pct_change,allpros_in_stage_pct_change,allpros_completion_change,allpros_wait_pct_change,flag_obs_mix,flag_all_prostad
biopmdt_to_biopsy,1.4150605245538181,2.4528227290916367,1.7488951690017398,18.02260273972603,9.164794520547947,17.944383561643836,0.9149850968431655,0.9232264544110904,0.9189355226889955,,,,23.591545284127182,-0.4340060046364996,0.003950425845829941,,73.33694824573207,-49.14832972295063,0.008241357567924879,,🟠 PRESSURE ↑,🟠 PRESSURE ↑
biopsy_to_pathrep,1.3912637749920054,1.285785444129316,1.422650534168255,5.284109589041096,2.6904109589041094,5.260410958904109,0.9719148478279054,0.9737755149367938,0.973037715202827,8.620194647201947,8.57623947614593,8.609268292682927,2.2559891043256637,-0.44848861927723876,0.0011228673749216211,-0.12675299069454918,-7.581476119673678,-49.08487582309328,0.0018606671088884363,-0.5099092637111566,⚪ STABLE,🟢 IMPROVED
mri_to_report,1.7342399912941395,3.9817307692307695,2.2383464061391978,8.517534246575343,0.5672602739726027,4.806575342465753,0.979049423147233,1.0,0.9900950052237064,7.33920346789488,1.0,4.173936750272628,29.06785781527732,-43.568464730290465,0.011045582076473437,-43.12820500846738,129.59514191916932,-93.34008813406672,0.020950576852767022,-86.37454317250544,🚀 FASTER FLOW,🚀 FASTER FLOW
pathrep_to_treatmdt,1.3041628049031866,1.1463969341527172,1.3130942999731867,5.278630136986301,2.6932876712328766,5.242465753424658,0.9647121529734047,0.974901189949224,0.9599534829561314,,,,0.6848451003525707,-0.6851092541651408,-0.00475867001727337,,-12.097099392600837,-48.97752634037473,0.010189036975819299,,⚪ STABLE,🟢 IMPROVED
ref_to_mri,2.1115343041461365,2.1115343041461365,2.1115343041461365,29.56205479452055,0.0,14.88794520547945,0.9332499329978816,0.4543048772038973,0.9072270426925506,24.11433215930642,91.52094861660079,23.06515812431843,0.0,-49.63832754873659,-0.026022890305331003,-4.350831812620136,0.0,-100.0,-0.47894505579398433,279.5292691996871,🟢 IMPROVED,🟢 IMPROVED
report_to_biopmdt,1.7268860241776174,3.9817307692307695,2.2108996373277536,5.961917808219178,0.0,2.969178082191781,0.9836996450775389,1.0,0.9918850728624754,5.22947710647521,0.0,2.598555070883315,28.02811571659077,-50.197601213179546,0.008185427784936472,-50.3094665494233,130.57287588663883,-100.0,0.01630035492246107,-100.0,🚀 FASTER FLOW,🚀 FASTER FLOW
treatmdt_to_outpat,1.3130306543928385,1.1533860031446244,1.2962256629858206,5.2526027397260275,2.6934246575342464,5.2194520547945205,0.9556599224879558,0.972196602724547,0.9617787558695042,11.17833433916717,11.152729384436702,11.154823102509827,-1.2798628387536535,-0.6311287293970417,0.006118833381548394,-0.21032862270869632,-12.15848622529196,-48.722094721468814,0.01653668023659116,-0.22905876630253028,⚪ STABLE,🟢 IMPROVED
